train_acc,train_loss,val_acc,val_loss
0.00936842105263158,4.609348,0.0104,4.607236
0.009263157894736843,4.6068544,0.0092,4.606585
0.009747368421052631,4.6062202,0.0084,4.6063247
0.009621052631578947,4.605996,0.0076,4.60674
0.009915789473684211,4.6058874,0.0076,4.6068487
0.00911578947368421,4.605854,0.008,4.6074386
0.009536842105263158,4.605796,0.007200000000000001,4.6064863
0.009536842105263156,4.6057415,0.006400000000000001,4.6065035
0.009368421052631578,4.6058273,0.0076,4.6067605
0.009073684210526317,4.6057234,0.007600000000000001,4.606495
0.009221052631578948,4.6057067,0.007200000000000001,4.6067553
0.009810526315789474,4.6056857,0.007200000000000001,4.6068745
0.01023157894736842,4.6056905,0.0072,4.6067567
0.009684210526315788,4.6057563,0.0072,4.607022
0.01031578947368421,4.605603,0.0064,4.607121
0.010189473684210526,4.605704,0.0064,4.606934
0.009936842105263159,4.6056457,0.006400000000000001,4.606852
0.009494736842105262,4.6055865,0.0064,4.607068
0.009347368421052632,4.6057234,0.008,4.6070333
0.01025263157894737,4.6056185,0.009600000000000001,4.607087
0.009621052631578947,4.605691,0.0076,4.606952
0.009494736842105262,4.6057205,0.0096,4.6069417
0.00976842105263158,4.605526,0.0084,4.6068316
0.008863157894736842,4.6056695,0.0076,4.6071076
0.009663157894736842,4.6056323,0.008400000000000001,4.606731
0.009705263157894736,4.6055923,0.0068,4.606945
0.008442105263157895,4.6056776,0.009200000000000002,4.6064105
0.00934736842105263,4.605563,0.0092,4.606714
0.009621052631578949,4.6056137,0.0096,4.606845
0.009221052631578948,4.605661,0.0072,4.6067514
0.009263157894736843,4.6055913,0.012,4.60708
0.010084210526315788,4.6056414,0.012000000000000002,4.606695
0.009684210526315788,4.605564,0.0072,4.6067286
0.009684210526315788,4.6055727,0.007200000000000001,4.60679
0.010147368421052632,4.605597,0.0072,4.6072173
0.009494736842105262,4.6055045,0.007200000000000001,4.60699
0.0092,4.605588,0.0072,4.607377
0.009578947368421055,4.6055756,0.0072,4.607345
0.009515789473684212,4.6055408,0.0072,4.6072783
0.00983157894736842,4.605583,0.0072,4.607246
0.009326315789473684,4.605556,0.0072,4.6072345
0.009705263157894736,4.605602,0.008,4.6071095
0.009136842105263157,4.6055923,0.008,4.607164
0.009810526315789474,4.6055,0.0076,4.6073627
0.009431578947368423,4.605551,0.008,4.607179
0.010021052631578946,4.605511,0.006400000000000001,4.6069393
0.009957894736842107,4.605504,0.0064,4.607013
0.009536842105263158,4.605579,0.0064,4.6068316
0.009473684210526316,4.605488,0.0064,4.6070704
0.009136842105263157,4.605509,0.008,4.6068926
0.00922105263157895,4.605526,0.008400000000000001,4.606741
0.010421052631578945,4.6054535,0.008,4.6069036
0.009431578947368423,4.605484,0.0064,4.6067305
0.009431578947368423,4.605521,0.01,4.6066117
0.008757894736842105,4.6054597,0.009600000000000001,4.6066017
0.008989473684210525,4.6055436,0.008,4.6063766
0.010105263157894739,4.605517,0.0064,4.606919
0.009263157894736843,4.605462,0.0064,4.607285
0.009557894736842104,4.6055274,0.0076,4.6073985
0.010126315789473685,4.6054544,0.0076,4.6074586
0.009557894736842104,4.605463,0.0088,4.60723
0.009389473684210527,4.605559,0.007200000000000001,4.6071033
0.009957894736842107,4.6054673,0.0072,4.607123
0.009663157894736842,4.6055,0.007200000000000001,4.607008
0.009431578947368423,4.605461,0.0072,4.607069
0.009473684210526316,4.6054444,0.009600000000000001,4.6069956
0.009242105263157895,4.6055074,0.0076,4.6070585
0.009242105263157895,4.60545,0.0084,4.6070623
0.009094736842105263,4.6055255,0.0076,4.606976
0.009410526315789475,4.605489,0.006400000000000001,4.6070085
0.009705263157894736,4.6054215,0.0084,4.6070943
0.009473684210526316,4.6054764,0.0072,4.607033
0.009578947368421051,4.6054435,0.0076,4.60713
0.010000000000000002,4.6054254,0.0076,4.6071515
0.009600000000000001,4.6054864,0.0088,4.606989
0.009410526315789475,4.6054897,0.0076,4.607204
0.00983157894736842,4.6054597,0.0076,4.6072154
0.009473684210526316,4.6054473,0.008400000000000001,4.607113
0.009936842105263159,4.6054225,0.008,4.6069636
0.009536842105263158,4.6054616,0.008,4.607041
0.009726315789473687,4.6054378,0.008,4.607158
0.009978947368421053,4.6054206,0.007200000000000001,4.60706
0.009263157894736843,4.6054726,0.0072,4.6068225
0.009326315789473684,4.6054,0.0072,4.606702
0.00983157894736842,4.605457,0.0104,4.6069255
0.009452631578947369,4.6054597,0.0104,4.606861
0.00928421052631579,4.605404,0.0076,4.60697
0.009242105263157894,4.6054554,0.0076,4.606982
0.009557894736842107,4.6054482,0.0092,4.6071205
0.009536842105263158,4.6054482,0.0068000000000000005,4.607151
0.009410526315789475,4.6054535,0.008,4.606944
0.009936842105263159,4.6054206,0.009600000000000001,4.606969
0.01023157894736842,4.605453,0.007200000000000001,4.6069403
0.01023157894736842,4.605437,0.0072,4.6066957
0.010189473684210526,4.605404,0.0064,4.6064606
0.010189473684210526,4.6055202,0.006400000000000001,4.6067395
0.009705263157894736,4.605551,0.006400000000000001,4.606929
0.009642105263157896,4.605448,0.008,4.60691
0.010105263157894737,4.6055045,0.0092,4.6068845
0.0092,4.6054306,0.0064,4.6072464
